   Time             I(L1)             Ibat              V(L1)             K2                K1                Vbat_U            Vbat            
 4.300000000E+002  2.287380291E+001  2.287383470E+001  3.177109339E+002  0.000000000E+000  1.000000000E+000  3.179116701E+002  2.188814503E+000 
 4.400000000E+002  2.340323543E+001  2.340326720E+001  3.176080901E+002  0.000000000E+000  1.000000000E+000  3.178111855E+002  2.291652507E+000 
 4.500000000E+002  2.393249459E+001  2.393252635E+001  3.175028936E+002  0.000000000E+000  1.000000000E+000  3.177083475E+002  2.396843159E+000 
 4.600000000E+002  2.446157645E+001  2.446160820E+001  3.173953452E+002  0.000000000E+000  1.000000000E+000  3.176031568E+002  2.504385681E+000 
 4.700000000E+002  2.499047711E+001  2.499050885E+001  3.172854458E+002  0.000000000E+000  1.000000000E+000  3.174956143E+002  2.614279274E+000 
 4.800000000E+002  2.551919265E+001  2.551922437E+001  3.171731962E+002  0.000000000E+000  1.000000000E+000  3.173857207E+002  2.726523126E+000 
 4.900000000E+002  2.604771914E+001  2.604775086E+001  3.170585971E+002  0.000000000E+000  1.000000000E+000  3.172734769E+002  2.841116404E+000 
 5.000000000E+002  2.657605268E+001  2.657608438E+001  3.169416494E+002  0.000000000E+000  1.000000000E+000  3.171588836E+002  2.958058260E+000 
 5.100000000E+002  2.710418935E+001  2.710422104E+001  3.168223540E+002  0.000000000E+000  1.000000000E+000  3.170419417E+002  3.077347828E+000 
 5.200000000E+002  2.763212524E+001  2.763215692E+001  3.167007118E+002  0.000000000E+000  1.000000000E+000  3.169226522E+002  3.198984223E+000 
 5.300000000E+002  2.815985643E+001  2.815988810E+001  3.165767237E+002  0.000000000E+000  1.000000000E+000  3.168010158E+002  3.322966545E+000 
 5.400000000E+002  2.868737903E+001  2.868741068E+001  3.164503906E+002  0.000000000E+000  1.000000000E+000  3.166770335E+002  3.449293876E+000 
 5.500000000E+002  2.921468912E+001  2.921472076E+001  3.163217134E+002  0.000000000E+000  1.000000000E+000  3.165507061E+002  3.577965279E+000 
 5.600000000E+002  2.974178279E+001  2.974181442E+001  3.161906930E+002  0.000000000E+000  1.000000000E+000  3.164220347E+002  3.708979802E+000 
 5.700000000E+002  3.026865614E+001  3.026868776E+001  3.160573306E+002  0.000000000E+000  1.000000000E+000  3.162910202E+002  3.842336473E+000 
 5.800000000E+002  3.079530527E+001  3.079533687E+001  3.159216269E+002  0.000000000E+000  1.000000000E+000  3.161576635E+002  3.978034306E+000 
 5.900000000E+002  3.132172628E+001  3.132175787E+001  3.157835832E+002  0.000000000E+000  1.000000000E+000  3.160219657E+002  4.116072294E+000 
 6.000000000E+002  3.184791527E+001  3.184794684E+001  3.156432003E+002  0.000000000E+000  1.000000000E+000  3.158839277E+002  4.256449416E+000 
 6.100000000E+002  3.237386833E+001  3.237389989E+001  3.155004793E+002  0.000000000E+000  1.000000000E+000  3.157435506E+002  4.399164631E+000 
 6.200000000E+002  3.289958158E+001  3.289961313E+001  3.153554212E+002  0.000000000E+000  1.000000000E+000  3.156008354E+002  4.544216882E+000 
 6.300000000E+002  3.342505112E+001  3.342508265E+001  3.152080272E+002  0.000000000E+000  1.000000000E+000  3.154557831E+002  4.691605095E+000 
 6.400000000E+002  3.395027306E+001  3.395030458E+001  3.150582984E+002  0.000000000E+000  1.000000000E+000  3.153083949E+002  4.841328177E+000 
 6.500000000E+002  3.447524351E+001  3.447527501E+001  3.149062358E+002  0.000000000E+000  1.000000000E+000  3.151586718E+002  4.993385021E+000 
 6.600000000E+002  3.499995857E+001  3.499999006E+001  3.147518405E+002  0.000000000E+000  1.000000000E+000  3.150066150E+002  5.147774499E+000 
 6.700000000E+002  3.552441437E+001  3.552444584E+001  3.145951138E+002  0.000000000E+000  1.000000000E+000  3.148522255E+002  5.304495468E+000 
 6.800000000E+002  3.604860701E+001  3.604863846E+001  3.144360567E+002  0.000000000E+000  1.000000000E+000  3.146955045E+002  5.463546766E+000 
 6.900000000E+002  3.657253261E+001  3.657256405E+001  3.142746705E+002  0.000000000E+000  1.000000000E+000  3.145364532E+002  5.624927216E+000 
 7.000000000E+002  3.709618730E+001  3.709621872E+001  3.141109563E+002  0.000000000E+000  1.000000000E+000  3.143750728E+002  5.788635622E+000 
 7.100000000E+002  3.761956720E+001  3.761959860E+001  3.139449154E+002  0.000000000E+000  1.000000000E+000  3.142113644E+002  5.954670772E+000 
 7.200000000E+002  3.814266842E+001  3.814269980E+001  3.137765490E+002  0.000000000E+000  1.000000000E+000  3.140453292E+002  6.123031435E+000 
 7.300000000E+002  3.866548709E+001  3.866551846E+001  3.136058583E+002  0.000000000E+000  1.000000000E+000  3.138769686E+002  6.293716364E+000 
 7.400000000E+002  3.918801934E+001  3.918805069E+001  3.134328446E+002  0.000000000E+000  1.000000000E+000  3.137062836E+002  6.466724296E+000 
 7.500000000E+002  3.971026130E+001  3.971029264E+001  3.132575092E+002  0.000000000E+000  1.000000000E+000  3.135332757E+002  6.642053948E+000 
 7.600000000E+002  4.023220911E+001  4.023224042E+001  3.130798534E+002  0.000000000E+000  1.000000000E+000  3.133579461E+002  6.819704021E+000 
 7.700000000E+002  4.075385888E+001  4.075389018E+001  3.128998785E+002  0.000000000E+000  1.000000000E+000  3.131802960E+002  6.999673200E+000 
 7.800000000E+002  4.127520677E+001  4.127523805E+001  3.127175858E+002  0.000000000E+000  1.000000000E+000  3.130003268E+002  7.181960152E+000 
 7.900000000E+002  4.179624890E+001  4.179628017E+001  3.125329767E+002  0.000000000E+000  1.000000000E+000  3.128180398E+002  7.366563526E+000 
 8.000000000E+002  4.231698143E+001  4.231701267E+001  3.123460526E+002  0.000000000E+000  1.000000000E+000  3.126334365E+002  7.553481954E+000 
 8.100000000E+002  4.283740048E+001  4.283743171E+001  3.121568147E+002  0.000000000E+000  1.000000000E+000  3.124465180E+002  7.742714053E+000 
 8.200000000E+002  4.335750222E+001  4.335753342E+001  3.119652646E+002  0.000000000E+000  1.000000000E+000  3.122572859E+002  7.934258420E+000 
 8.300000000E+002  4.387728277E+001  4.387731396E+001  3.117714037E+002  0.000000000E+000  1.000000000E+000  3.120657416E+002  8.128113636E+000 
 8.400000000E+002  4.439673831E+001  4.439676947E+001  3.115752334E+002  0.000000000E+000  1.000000000E+000  3.118718864E+002  8.324278266E+000 
 8.500000000E+002  4.491586496E+001  4.491589611E+001  3.113767551E+002  0.000000000E+000  1.000000000E+000  3.116757217E+002  8.522750856E+000 
 8.600000000E+002  4.543465890E+001  4.543469003E+001  3.111759703E+002  0.000000000E+000  1.000000000E+000  3.114772491E+002  8.723529937E+000 
 8.700000000E+002  4.595311628E+001  4.595314738E+001  3.109728805E+002  0.000000000E+000  1.000000000E+000  3.112764701E+002  8.926614020E+000 
 8.800000000E+002  4.647123325E+001  4.647126434E+001  3.107674872E+002  0.000000000E+000  1.000000000E+000  3.110733860E+002  9.132001601E+000 
 8.900000000E+002  4.698900598E+001  4.698903705E+001  3.105597920E+002  0.000000000E+000  1.000000000E+000  3.108679984E+002  9.339691160E+000 
 9.000000000E+002  4.750643064E+001  4.750646168E+001  3.103497963E+002  0.000000000E+000  1.000000000E+000  3.106603088E+002  9.549681157E+000 
 9.100000000E+002  4.802350339E+001  4.802353441E+001  3.101375017E+002  0.000000000E+000  1.000000000E+000  3.104503188E+002  9.761970037E+000 
 9.200000000E+002  4.854022040E+001  4.854025140E+001  3.099229098E+002  0.000000000E+000  1.000000000E+000  3.102380300E+002  9.976556228E+000 
 9.300000000E+002  4.905657784E+001  4.905660882E+001  3.097060222E+002  0.000000000E+000  1.000000000E+000  3.100234438E+002  1.019343814E+001 
 9.400000000E+002  4.957257189E+001  4.957260285E+001  3.094868405E+002  0.000000000E+000  1.000000000E+000  3.098065619E+002  1.041261417E+001 
 9.500000000E+002  5.008819873E+001  5.008822967E+001  3.092653663E+002  0.000000000E+000  1.000000000E+000  3.095873858E+002  1.063408268E+001 
 9.600000000E+002  5.060345454E+001  5.060348545E+001  3.090416013E+002  0.000000000E+000  1.000000000E+000  3.093659173E+002  1.085784205E+001 
 9.700000000E+002  5.111833549E+001  5.111836639E+001  3.088155471E+002  0.000000000E+000  1.000000000E+000  3.091421580E+002  1.108389061E+001 
 9.800000000E+002  5.163283779E+001  5.163286866E+001  3.085872054E+002  0.000000000E+000  1.000000000E+000  3.089161094E+002  1.131222669E+001 
 9.900000000E+002  5.214695761E+001  5.214698845E+001  3.083565778E+002  0.000000000E+000  1.000000000E+000  3.086877733E+002  1.154284859E+001 
 1.000000000E+003  5.266069114E+001  5.266072197E+001  3.081236661E+002  0.000000000E+000  1.000000000E+000  3.084571514E+002  1.177575461E+001 
 1.010000000E+003  5.317403459E+001  5.317406539E+001  3.078884721E+002  0.000000000E+000  1.000000000E+000  3.082242454E+002  1.201094303E+001 
 1.020000000E+003  5.368698415E+001  5.368701493E+001  3.076509973E+002  0.000000000E+000  1.000000000E+000  3.079890570E+002  1.224841210E+001 
 1.030000000E+003  5.419953602E+001  5.419956677E+001  3.074112437E+002  0.000000000E+000  1.000000000E+000  3.077515879E+002  1.248816006E+001 
 1.040000000E+003  5.471168640E+001  5.471171713E+001  3.071692130E+002  0.000000000E+000  1.000000000E+000  3.075118399E+002  1.273018513E+001 
 1.050000000E+003  5.522343150E+001  5.522346220E+001  3.069249070E+002  0.000000000E+000  1.000000000E+000  3.072698149E+002  1.297448553E+001 
 1.060000000E+003  5.573476753E+001  5.573479821E+001  3.066783275E+002  0.000000000E+000  1.000000000E+000  3.070255145E+002  1.322105944E+001 
 1.070000000E+003  5.624569070E+001  5.624572135E+001  3.064294763E+002  0.000000000E+000  1.000000000E+000  3.067789406E+002  1.346990504E+001 
 1.080000000E+003  5.675619722E+001  5.675622785E+001  3.061783552E+002  0.000000000E+000  1.000000000E+000  3.065300950E+002  1.372102049E+001 
 1.090000000E+003  5.726628332E+001  5.726631393E+001  3.059249662E+002  0.000000000E+000  1.000000000E+000  3.062789795E+002  1.397440391E+001 
 1.100000000E+003  5.777594522E+001  5.777597580E+001  3.056693110E+002  0.000000000E+000  1.000000000E+000  3.060255961E+002  1.423005344E+001 
 1.110000000E+003  5.828517914E+001  5.828520969E+001  3.054113917E+002  0.000000000E+000  1.000000000E+000  3.057699466E+002  1.448796719E+001 
 1.120000000E+003  5.879398131E+001  5.879401183E+001  3.051512100E+002  0.000000000E+000  1.000000000E+000  3.055120328E+002  1.474814324E+001 
 1.130000000E+003  5.930234796E+001  5.930237846E+001  3.048887680E+002  0.000000000E+000  1.000000000E+000  3.052518568E+002  1.501057966E+001 
 1.140000000E+003  5.981027532E+001  5.981030579E+001  3.046240676E+002  0.000000000E+000  1.000000000E+000  3.049894203E+002  1.527527451E+001 
 1.150000000E+003  6.031775964E+001  6.031779008E+001  3.043571107E+002  0.000000000E+000  1.000000000E+000  3.047247255E+002  1.554222584E+001 
 1.160000000E+003  6.082479714E+001  6.082482756E+001  3.040878993E+002  0.000000000E+000  1.000000000E+000  3.044577742E+002  1.581143166E+001 
 1.170000000E+003  6.133138409E+001  6.133141448E+001  3.038164354E+002  0.000000000E+000  1.000000000E+000  3.041885683E+002  1.608288997E+001 
 1.180000000E+003  6.183751672E+001  6.183754708E+001  3.035427210E+002  0.000000000E+000  1.000000000E+000  3.039171100E+002  1.635659877E+001 
 1.190000000E+003  6.234319129E+001  6.234322162E+001  3.032667582E+002  0.000000000E+000  1.000000000E+000  3.036434012E+002  1.663255604E+001 
 1.200000000E+003  6.284840404E+001  6.284843435E+001  3.029885489E+002  0.000000000E+000  1.000000000E+000  3.033674440E+002  1.691075972E+001 
 1.210000000E+003  6.335315125E+001  6.335318153E+001  3.027080954E+002  0.000000000E+000  1.000000000E+000  3.030892403E+002  1.719120775E+001 
 1.220000000E+003  6.385742916E+001  6.385745941E+001  3.024253995E+002  0.000000000E+000  1.000000000E+000  3.028087922E+002  1.747389807E+001 
 1.230000000E+003  6.436123404E+001  6.436126427E+001  3.021404635E+002  0.000000000E+000  1.000000000E+000  3.025261019E+002  1.775882856E+001 
 1.240000000E+003  6.486456217E+001  6.486459237E+001  3.018532894E+002  0.000000000E+000  1.000000000E+000  3.022411714E+002  1.804599713E+001 
 1.250000000E+003  6.536740981E+001  6.536743998E+001  3.015638793E+002  0.000000000E+000  1.000000000E+000  3.019540029E+002  1.833540165E+001 
 1.260000000E+003  6.586977324E+001  6.586980338E+001  3.012722355E+002  0.000000000E+000  1.000000000E+000  3.016645983E+002  1.862703997E+001 
 1.270000000E+003  6.637164874E+001  6.637167884E+001  3.009783600E+002  0.000000000E+000  1.000000000E+000  3.013729600E+002  1.892090993E+001 
 1.280000000E+003  6.687303258E+001  6.687306266E+001  3.006822550E+002  0.000000000E+000  1.000000000E+000  3.010790901E+002  1.921700935E+001 
 1.290000000E+003  6.737392106E+001  6.737395111E+001  3.003839228E+002  0.000000000E+000  1.000000000E+000  3.007829906E+002  1.951533605E+001 
 1.300000000E+003  6.787431047E+001  6.787434049E+001  3.000833656E+002  0.000000000E+000  1.000000000E+000  3.004846639E+002  1.981588781E+001 
 1.310000000E+003  6.837419710E+001  6.837422709E+001  2.997805855E+002  0.000000000E+000  1.000000000E+000  3.001841122E+002  2.011866241E+001 
 1.320000000E+003  6.887357724E+001  6.887360720E+001  2.994755848E+002  0.000000000E+000  1.000000000E+000  2.998813376E+002  2.042365759E+001 
 1.330000000E+003  6.937244720E+001  6.937247712E+001  2.991683658E+002  0.000000000E+000  1.000000000E+000  2.995763424E+002  2.073087111E+001 
 1.340000000E+003  6.987080328E+001  6.987083317E+001  2.988589307E+002  0.000000000E+000  1.000000000E+000  2.992691289E+002  2.104030069E+001 
 1.350000000E+003  7.036864179E+001  7.036867165E+001  2.985472819E+002  0.000000000E+000  1.000000000E+000  2.989596993E+002  2.135194404E+001 
 1.360000000E+003  7.086595904E+001  7.086598887E+001  2.982334216E+002  0.000000000E+000  1.000000000E+000  2.986480560E+002  2.166579884E+001 
 1.370000000E+003  7.136275135E+001  7.136278115E+001  2.979173522E+002  0.000000000E+000  1.000000000E+000  2.983342012E+002  2.198186277E+001 
 1.380000000E+003  7.185901504E+001  7.185904481E+001  2.975990761E+002  0.000000000E+000  1.000000000E+000  2.980181372E+002  2.230013350E+001 
 1.390000000E+003  7.235474644E+001  7.235477617E+001  2.972785954E+002  0.000000000E+000  1.000000000E+000  2.976998665E+002  2.262060865E+001 
 1.400000000E+003  7.284994186E+001  7.284997157E+001  2.969559128E+002  0.000000000E+000  1.000000000E+000  2.973793913E+002  2.294328587E+001 
 1.410000000E+003  7.334459765E+001  7.334462732E+001  2.966310305E+002  0.000000000E+000  1.000000000E+000  2.970567141E+002  2.326816276E+001 
 1.420000000E+003  7.383871013E+001  7.383873977E+001  2.963039509E+002  0.000000000E+000  1.000000000E+000  2.967318372E+002  2.359523691E+001 
 1.430000000E+003  7.433227565E+001  7.433230526E+001  2.959746765E+002  0.000000000E+000  1.000000000E+000  2.964047631E+002  2.392450589E+001 
 1.440000000E+003  7.482529056E+001  7.482532013E+001  2.956432096E+002  0.000000000E+000  1.000000000E+000  2.960754941E+002  2.425596728E+001 
 1.450000000E+003  7.531775119E+001  7.531778073E+001  2.953095529E+002  0.000000000E+000  1.000000000E+000  2.957440327E+002  2.458961862E+001 
 1.460000000E+003  7.580965391E+001  7.580968342E+001  2.949737087E+002  0.000000000E+000  1.000000000E+000  2.954103814E+002  2.492545743E+001 
 1.470000000E+003  7.630099507E+001  7.630102454E+001  2.946356795E+002  0.000000000E+000  1.000000000E+000  2.950745426E+002  2.526348122E+001 
 1.480000000E+003  7.679177102E+001  7.679180046E+001  2.942954678E+002  0.000000000E+000  1.000000000E+000  2.947365188E+002  2.560368750E+001 
 1.490000000E+003  7.728197814E+001  7.728200755E+001  2.939530762E+002  0.000000000E+000  1.000000000E+000  2.943963125E+002  2.594607374E+001 
 1.500000000E+003  7.777161280E+001  7.777164217E+001  2.936085071E+002  0.000000000E+000  1.000000000E+000  2.940539263E+002  2.629063741E+001 
 1.510000000E+003  7.826067136E+001  7.826070069E+001  2.932617632E+002  0.000000000E+000  1.000000000E+000  2.937093626E+002  2.663737595E+001 
 1.520000000E+003  7.874915020E+001  7.874917950E+001  2.929128470E+002  0.000000000E+000  1.000000000E+000  2.933626241E+002  2.698628679E+001 
 1.530000000E+003  7.923704570E+001  7.923707497E+001  2.925617610E+002  0.000000000E+000  1.000000000E+000  2.930137132E+002  2.733736736E+001 
 1.540000000E+003  7.972435426E+001  7.972438349E+001  2.922085080E+002  0.000000000E+000  1.000000000E+000  2.926626326E+002  2.769061504E+001 
 1.550000000E+003  8.021107226E+001  8.021110146E+001  2.918530904E+002  0.000000000E+000  1.000000000E+000  2.923093850E+002  2.804602723E+001 
 1.560000000E+003  8.069719609E+001  8.069722525E+001  2.914955110E+002  0.000000000E+000  1.000000000E+000  2.919539728E+002  2.840360129E+001 
 1.570000000E+003  8.118272216E+001  8.118275129E+001  2.911357724E+002  0.000000000E+000  1.000000000E+000  2.915963987E+002  2.876333457E+001 
 1.580000000E+003  8.166764687E+001  8.166767596E+001  2.907738772E+002  0.000000000E+000  1.000000000E+000  2.912366654E+002  2.912522441E+001 
 1.590000000E+003  8.215196663E+001  8.215199568E+001  2.904098282E+002  0.000000000E+000  1.000000000E+000  2.908747756E+002  2.948926813E+001 
 1.600000000E+003  8.263567784E+001  8.263570685E+001  2.900436280E+002  0.000000000E+000  1.000000000E+000  2.905107319E+002  2.985546302E+001 
 1.610000000E+003  8.311877693E+001  8.311880591E+001  2.896752793E+002  0.000000000E+000  1.000000000E+000  2.901445370E+002  3.022380638E+001 
 1.620000000E+003  8.360126032E+001  8.360128926E+001  2.893047849E+002  0.000000000E+000  1.000000000E+000  2.897761936E+002  3.059429548E+001 
 1.630000000E+003  8.408312443E+001  8.408315333E+001  2.889321475E+002  0.000000000E+000  1.000000000E+000  2.894057045E+002  3.096692758E+001 
 1.640000000E+003  8.456436569E+001  8.456439456E+001  2.885573699E+002  0.000000000E+000  1.000000000E+000  2.890330724E+002  3.134169991E+001 
 1.650000000E+003  8.504498055E+001  8.504500937E+001  2.881804548E+002  0.000000000E+000  1.000000000E+000  2.886583001E+002  3.171860969E+001 
 1.660000000E+003  8.552496543E+001  8.552499422E+001  2.878014051E+002  0.000000000E+000  1.000000000E+000  2.882813903E+002  3.209765415E+001 
 1.670000000E+003  8.600431679E+001  8.600434554E+001  2.874202235E+002  0.000000000E+000  1.000000000E+000  2.879023459E+002  3.247883046E+001 
 1.680000000E+003  8.648303107E+001  8.648305978E+001  2.870369129E+002  0.000000000E+000  1.000000000E+000  2.875211695E+002  3.286213580E+001 
 1.690000000E+003  8.696110472E+001  8.696113340E+001  2.866514761E+002  0.000000000E+000  1.000000000E+000  2.871378642E+002  3.324756734E+001 
 1.700000000E+003  8.743853422E+001  8.743856285E+001  2.862639160E+002  0.000000000E+000  1.000000000E+000  2.867524327E+002  3.363512222E+001 
 1.710000000E+003  8.791531601E+001  8.791534461E+001  2.858742354E+002  0.000000000E+000  1.000000000E+000  2.863648778E+002  3.402479757E+001 
 1.720000000E+003  8.839144657E+001  8.839147513E+001  2.854824372E+002  0.000000000E+000  1.000000000E+000  2.859752024E+002  3.441659050E+001 
 1.730000000E+003  8.886692237E+001  8.886695089E+001  2.850885243E+002  0.000000000E+000  1.000000000E+000  2.855834095E+002  3.481049812E+001 
 1.740000000E+003  8.934173989E+001  8.934176837E+001  2.846924997E+002  0.000000000E+000  1.000000000E+000  2.851895019E+002  3.520651749E+001 
 1.750000000E+003  8.981589561E+001  8.981592405E+001  2.842943663E+002  0.000000000E+000  1.000000000E+000  2.847934825E+002  3.560464570E+001 
 1.760000000E+003  9.028938602E+001  9.028941442E+001  2.838941270E+002  0.000000000E+000  1.000000000E+000  2.843953543E+002  3.600487978E+001 
 1.770000000E+003  9.076220762E+001  9.076223598E+001  2.834917848E+002  0.000000000E+000  1.000000000E+000  2.839951202E+002  3.640721679E+001 
 1.780000000E+003  9.123435689E+001  9.123438521E+001  2.830873427E+002  0.000000000E+000  1.000000000E+000  2.835927832E+002  3.681165372E+001 
 1.790000000E+003  9.170583035E+001  9.170585862E+001  2.826808036E+002  0.000000000E+000  1.000000000E+000  2.831883463E+002  3.721818760E+001 
 1.800000000E+003  9.217662449E+001  9.217665273E+001  2.822721707E+002  0.000000000E+000  1.000000000E+000  2.827818124E+002  3.762681540E+001 
 1.810000000E+003  9.264673584E+001  9.264676404E+001  2.818614468E+002  0.000000000E+000  1.000000000E+000  2.823731846E+002  3.803753410E+001 
 1.820000000E+003  9.311616091E+001  9.311618906E+001  2.814486351E+002  0.000000000E+000  1.000000000E+000  2.819624659E+002  3.845034067E+001 
 1.830000000E+003  9.358489622E+001  9.358492433E+001  2.810337385E+002  0.000000000E+000  1.000000000E+000  2.815496593E+002  3.886523203E+001 
 1.840000000E+003  9.405293830E+001  9.405296637E+001  2.806167603E+002  0.000000000E+000  1.000000000E+000  2.811347680E+002  3.928220512E+001 
 1.850000000E+003  9.452028369E+001  9.452031172E+001  2.801977034E+002  0.000000000E+000  1.000000000E+000  2.807177949E+002  3.970125685E+001 
 1.860000000E+003  9.498692892E+001  9.498695690E+001  2.797765710E+002  0.000000000E+000  1.000000000E+000  2.802987432E+002  4.012238411E+001 
 1.870000000E+003  9.545287053E+001  9.545289848E+001  2.793533662E+002  0.000000000E+000  1.000000000E+000  2.798776159E+002  4.054558379E+001 
